strain,OXA-RS,CIP-RS,LEV-RS,MXF-RS,GEN-RS,TET-RS,ERY-RS,SMZ-RS,CLI-RS,FOS-RS,VAN-RS,LNZ-RS,TEC-RS,DAP-RS,RIF-RS
AR4274,S,S,S,S,S,S,I,S,S,S,S,S,S,S,S
AR4275,R,R,R,I,S,S,I,S,S,S,S,S,S,S,S
AR4276,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S
AR4277,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S
AR4278,R,R,R,I,R,S,I,R,S,S,S,S,S,S,S
AR4279,R,S,S,S,R,R,R,S,S,S,S,S,I,S,S
AR4280,R,R,R,R,S,S,R,S,R,S,S,S,S,S,S
AR4281,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S
AR4282,R,S,S,S,S,R,R,S,R,S,S,S,S,S,S
AR4283,R,S,S,S,S,S,I,S,S,S,S,S,S,S,S
AR4285,R,I,S,I,S,S,I,S,S,S,S,S,S,S,S
AR4286,R,R,R,I,S,S,I,R,S,S,S,S,S,S,S
AR4287,R,S,S,S,S,R,R,S,S,S,S,S,S,S,S
AR4288,R,S,S,S,R,S,R,S,S,S,S,S,S,S,S
AR4289,S,S,S,S,S,S,I,S,S,S,S,S,S,S,S
AR4290,R,R,R,I,R,S,R,S,S,R,S,S,I,S,S
AR4291,S,R,R,I,S,S,I,R,S,S,S,S,S,S,S
AR4292,R,R,R,I,S,S,R,S,S,S,S,S,S,S,S
AR4293,S,S,S,S,S,S,I,S,S,S,S,S,S,S,S
AR4294,S,R,R,R,S,S,R,R,R,S,S,S,S,S,S
AR4296,R,S,S,S,S,S,R,S,R,S,S,S,S,S,S
AR4297,R,R,R,I,S,S,R,R,S,S,S,S,S,S,S
AR4298,R,R,R,R,R,R,R,S,S,S,S,S,S,S,S
AR4299,R,S,S,S,S,S,I,S,S,S,S,S,S,S,S
AR4300,R,R,R,I,S,S,I,R,S,S,S,S,S,S,S
AR4301,R,S,I,S,S,R,R,R,S,S,S,S,S,S,S
AR4302,R,R,R,I,R,S,R,R,S,S,S,S,S,S,S
AR4303,S,S,S,S,S,S,I,S,S,S,S,S,S,S,S
AR4304,R,R,R,I,S,S,R,S,S,S,S,S,S,S,S
AR4305,R,R,R,I,R,S,R,R,R,S,S,S,S,S,S
AR4306,S,S,S,S,S,S,I,S,S,S,S,S,S,S,S
AR4307,R,R,R,I,S,S,I,R,S,R,S,S,S,S,S
AR4308,R,S,S,S,S,R,R,R,S,S,S,S,S,S,S
AR4309,R,S,R,S,S,S,R,S,S,R,S,S,S,S,S
AR4311,R,R,R,I,S,S,R,R,R,S,S,S,S,S,S
AR4312,S,S,S,S,S,S,R,R,S,S,S,S,S,S,S
AR4313,R,I,R,S,S,S,R,R,S,S,S,S,S,S,S
AR4314,R,R,R,R,S,S,R,S,S,S,S,S,S,S,S
AR4315,S,S,R,S,S,S,S,S,S,S,S,S,S,S,S
AR4317,R,R,R,I,R,S,R,R,R,S,S,S,S,S,S
AR4318,R,S,S,S,S,S,R,R,R,S,S,S,S,S,S
AR4320,S,S,S,S,S,S,R,R,S,S,S,S,S,S,S
AR4323,R,S,S,S,S,S,I,R,S,S,S,S,S,S,S
AR4324,S,S,S,S,S,S,R,R,S,S,S,S,I,S,S
AR4325,R,S,S,S,S,S,I,R,S,S,S,S,S,S,S
AR4326,R,R,R,R,R,S,R,R,R,R,S,S,S,S,R
AR4327,R,S,S,S,R,S,I,R,R,S,S,S,S,S,S
AR4328,R,R,R,I,R,S,R,R,R,S,S,S,S,S,R
AR4329,S,S,S,S,S,S,I,S,S,S,S,S,I,S,S
AR4331,S,R,R,I,R,R,I,R,S,S,S,S,S,S,S
AR4332,R,R,R,I,S,R,R,R,S,S,S,S,S,S,S
AR4333,R,S,S,S,R,R,R,S,S,S,S,S,S,S,S
AR4334,S,S,S,S,S,S,I,S,S,S,S,S,S,S,S
AR4335,S,S,S,S,S,S,R,S,I,S,S,S,S,S,S
AR4336,R,S,S,S,S,R,I,R,S,S,S,S,S,S,S
AR4337,R,R,R,R,R,S,R,R,R,R,S,S,S,S,R
AR4338,R,R,R,R,S,S,R,R,S,S,S,S,S,S,S
AR4339,R,R,R,R,R,S,R,R,R,S,S,S,S,S,S
AR6051,R,S,S,S,R,S,R,R,S,S,S,S,I,S,S
AR6052,R,R,R,I,S,S,R,R,R,R,S,S,S,S,S
AR6053,R,S,S,S,R,S,R,R,R,R,S,S,S,S,S
AR6054,R,S,S,S,R,S,R,S,S,S,S,S,S,S,S
AR6055,R,S,S,S,R,S,R,R,S,S,S,S,S,S,S
AR6056,R,S,S,S,S,S,R,R,S,S,S,S,I,S,S
AR6057,R,S,S,S,S,S,S,R,S,S,S,S,S,S,S
AR6058,R,S,S,S,S,S,R,S,R,S,S,S,S,S,S
AR6059,R,R,R,I,R,R,R,R,S,S,S,S,S,S,S
AR6060,R,S,S,S,S,S,R,R,S,S,S,S,S,S,S
AR6061,R,S,S,S,R,R,R,R,R,S,S,S,S,S,S
AR6062,S,S,S,S,S,R,R,R,S,S,S,S,S,S,S
AR6063,S,S,S,S,S,S,R,S,S,S,S,S,I,S,S
AR6064,R,S,S,S,S,S,R,S,S,S,S,S,S,S,S
AR6065,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S
AR6066,R,S,S,S,S,S,R,R,S,R,S,S,S,S,S
AR6067,R,S,S,S,R,S,R,R,R,S,S,S,S,S,S
AR6068,R,S,S,S,S,R,R,R,S,S,S,S,S,S,S
AR6069,R,S,S,S,R,R,R,R,R,R,S,S,S,S,S
AR6070,R,S,S,S,R,I,R,R,S,S,S,S,I,S,S
AR6071,R,S,S,S,S,S,R,S,S,S,S,S,S,S,S
AR6072,S,S,S,S,S,S,R,R,S,S,S,S,S,S,S
AR6073,R,S,S,S,R,S,R,R,R,R,S,S,S,S,S
AR6074,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
AR6075,R,S,S,S,S,S,R,R,R,S,S,S,S,S,S
AR6076,R,S,S,S,S,S,S,R,S,S,S,S,S,S,S
AR6077,R,S,S,S,R,R,R,R,S,S,S,S,S,S,S
AR6078,R,S,S,S,S,S,S,S,S,S,S,S,S,S,S
AR6079,S,R,R,I,S,S,R,S,S,S,S,S,S,S,S
AR6080,R,S,S,S,S,S,S,S,S,S,S,S,S,S,S
AR6081,R,S,S,S,S,S,R,R,R,S,S,S,S,S,S
AR6082,R,S,S,S,S,S,R,R,S,S,S,S,S,S,S
AR6083,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S
AR6084,R,S,S,S,S,R,R,S,S,S,S,S,S,S,S
AR6085,R,S,S,S,S,S,R,S,R,S,S,S,S,S,S
AR6086,R,S,S,S,S,S,R,S,R,S,S,S,S,S,S
AR6087,R,S,S,S,S,S,R,R,S,S,S,S,S,S,S
AR6088,R,S,S,S,S,R,R,R,S,S,S,S,I,S,S
AR6089,R,R,I,I,R,S,R,R,S,S,S,S,S,S,S
AR6090,R,S,S,S,R,S,R,R,R,S,S,S,S,S,S
AR6091,R,R,I,S,R,R,R,R,S,S,S,S,S,S,S
AR6092,S,S,S,S,S,S,R,S,R,S,S,S,S,S,S
AR6093,R,S,S,S,R,S,R,S,S,R,S,S,I,S,S
AR6094,R,R,I,I,R,S,R,R,R,S,S,S,S,S,R
AR6095,R,R,R,R,S,S,R,S,S,S,S,S,S,S,S
AR6096,S,S,S,S,S,S,R,S,S,R,S,S,S,S,S
AR6097,S,S,S,S,S,S,R,R,S,S,S,S,S,S,S
AR6098,R,S,S,S,R,S,R,S,R,R,S,S,S,S,R
AR6099,R,S,S,S,S,S,R,R,S,S,S,S,S,S,S
AR6100,R,S,S,S,S,R,R,S,S,S,S,S,S,S,S
AR6101,R,S,S,S,R,S,R,S,R,S,S,S,S,S,R
AR6102,R,S,S,S,S,S,R,R,S,S,S,S,I,S,S
AR6103,S,S,S,S,S,S,R,S,S,S,S,S,S,S,R
AR6104,R,S,S,S,R,S,R,S,R,S,S,S,S,S,R
AR6105,R,S,S,S,S,R,R,S,S,S,S,S,S,S,S
AR6106,R,S,S,S,S,S,R,R,S,S,S,S,S,S,S
AR6107,R,S,S,S,R,S,R,R,S,S,S,S,S,S,S
AR6108,R,S,S,S,S,S,R,R,S,S,S,S,S,S,S
AR6109,R,S,S,S,R,S,R,R,S,S,S,S,S,S,S
AR6110,R,S,S,S,S,S,R,R,S,S,S,S,S,S,S
AR6111,R,S,S,S,S,R,R,S,S,S,S,S,S,S,S
AR6112,R,S,S,S,R,S,S,R,S,S,S,S,S,S,S
AR6113,R,S,S,S,S,S,R,S,S,S,S,S,S,S,S
AR6114,R,S,S,S,S,S,R,R,S,S,S,S,S,S,S
AR6117,R,S,S,S,S,S,S,R,S,S,S,S,S,S,S
AR6118,R,R,R,I,S,R,R,R,R,S,S,S,S,S,S
AR6120,S,R,R,I,R,S,R,R,S,S,S,S,S,S,S
AR6121,R,R,R,I,S,S,S,R,S,S,S,S,S,S,S
AR6122,R,S,S,S,S,S,R,R,S,S,S,S,S,S,S
AR6124,R,R,R,I,S,S,R,R,S,S,S,S,S,S,S
AR6125,R,S,S,S,R,S,R,R,R,S,S,S,S,S,S
AR6126,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
AR6127,R,I,I,S,S,R,R,R,S,S,S,S,S,S,S
AR6129,R,R,R,I,S,S,R,R,S,S,S,S,S,S,S
AR6132,R,S,S,S,S,S,S,S,S,S,S,S,S,S,S
AR6133,R,S,S,S,S,S,S,S,S,S,S,S,S,S,S
AR6134,R,S,S,S,S,S,S,S,S,S,S,S,S,S,S
AR6135,S,S,S,S,S,R,R,R,S,S,S,S,S,S,S
AR6136,S,R,R,I,S,S,R,S,S,S,S,S,S,S,S
AR6139,R,S,S,S,S,S,R,R,S,S,S,S,S,S,S
AR6140,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S
AR6141,R,S,S,S,R,S,R,R,S,S,S,S,S,S,S
AR6142,R,S,S,S,S,R,R,S,R,S,S,S,S,S,S
AR6143,R,S,S,S,R,S,R,S,S,S,S,S,S,S,S
AR6144,R,R,R,R,S,S,S,S,I,S,S,S,I,S,S
AR6146,R,R,R,I,S,R,R,S,S,S,S,S,I,S,S
AR6147,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S
AR6148,R,S,S,S,S,S,R,S,S,S,S,S,S,S,S
