,OXA-RS,CIP-RS,LEV-RS,MXF-RS,GEN-RS,TET-RS,ERY-RS,SMZ-RS,CLI-RS,FOS-RS,VAN-RS,LNZ-RS,TEC-RS,DAP-RS,RIF-RS
arsC1_2~~~arsC1_1~~~arsC1,5.8112127084866036e-05,0.9193850190012481,0.2390099014733612,0.780298571305626,0.999940988080416,0.9999614157036228,0.9935729564637479,0.8848394202298314,0.9999999851283634,0.05083165208765893,1.0,1.0,0.9677028691691092,1.0,5.140951891914108e-19
arsC_1~~~arsC~~~arsC_2,5.0607810618369316e-05,1.536870627732797e-05,1.6378357180670635e-11,5.75077400871621e-07,0.7215960342605392,0.9995330298777807,0.9710575000609418,0.04398400622289236,0.9999953305830362,0.4089632838316136,1.0,1.0,0.9838830284420443,1.0,0.1360139037955577
arsR_1~~~arsR_2,0.02114602138998167,4.63958736481574e-08,5.093137572372942e-09,4.385386144548016e-08,0.051483737721069824,0.7069102581864255,0.9954003422535148,0.27326209590196526,0.7022074950843159,0.05002456581228313,1.0,1.0,0.010588715560369073,1.0,1.8005551700311383e-16
asd,0.6084169787864694,0.643592807479401,0.09127644068398957,0.01222966011657427,0.6250657240264348,0.9995048993852785,0.9365453513184389,0.0001013456798508325,0.9811180529533542,0.8650608757607314,1.0,1.0,0.1369726613793671,1.0,5.420755855393546e-09
asnC_1~~~asnC_2~~~asnC,0.010923560742510273,0.008502473704898084,2.354251925676182e-10,0.013163919938696273,0.9341139892296298,0.9999614249031628,0.5928528021723448,0.2570132805500338,0.9999999999680104,0.8647492119714763,1.0,1.0,0.7566836272477223,1.0,8.705319014305023e-09
asp1~~~asp2~~~asp2_1~~~asp1_2~~~asp1_1,0.9956932823329678,0.525446517211401,0.012569950112083004,0.004022988025678252,0.3260056214094763,0.23696508345327186,0.8273814764321662,0.08965068884805621,0.9965316028345926,0.9999683077835778,1.0,1.0,0.9864744964389742,1.0,1.3822684518439728e-07
asp3_1~~~asp3,0.949624327523809,0.2764046468052762,0.0029459998610018652,0.06775420299694214,2.8590423190341043e-13,0.8186036963508005,0.9684309869645849,0.17629021660071068,0.9447077951658197,0.999624931902106,1.0,1.0,0.9280486664365182,1.0,8.590571201144678e-06
aspS,0.9986509787637474,0.9984194462727718,0.037248880293793155,0.8237959572348991,0.9056038484188712,0.999864126573017,0.6500645510109716,0.0242140192632464,0.9999980680653804,0.9998690712042508,1.0,1.0,0.09887210474811788,1.0,7.85841578411747e-05
atl~~~atl_1~~~atl_2,0.9979078695778403,0.9999903481897091,0.6758715040779336,0.7133012675908154,0.9240867705015441,0.9999999999882927,0.9951489919349977,0.9917824294133453,1.0,0.9991659978006009,1.0,1.0,0.9570216989591537,1.0,1.0
atpA_1,0.10562857459453223,0.3169046022979645,4.830315100756813e-06,0.00011762395597699069,0.5175140188895803,0.9904453721451654,0.9949813447459445,0.9571103091087255,0.9999999998815403,0.9922847406464809,1.0,1.0,0.44049508768078477,1.0,0.9999194779301183
atpA_2,6.96254412109149e-05,0.012733696432304317,0.03672245828347355,0.00026265700027455936,0.287213582835943,0.9999878527446575,0.9971293563178362,0.983751089445077,0.9998044445392863,0.9523022609752102,1.0,1.0,0.9986158014427611,1.0,0.9999999970214374
atpB_1,0.006526228082573746,0.17208396538444456,0.003987660354138821,0.04454559984981141,1.9785680487885594e-06,0.0015348225318633918,0.9686384776302771,0.9184962450379438,0.9999980814505217,0.9762127080799314,1.0,1.0,3.8434949361787166e-05,1.0,1.5712555659185041e-15
atpB_2,0.05630026106419925,0.21788569922288498,0.02791436875922872,0.06234589973130233,0.40562063718795427,0.9502784833380994,0.9952946988067646,0.43776437009693275,0.9632799306794734,0.0028205555121443523,1.0,1.0,0.9276600152114163,1.0,0.08899389695137479
atpC,0.9999346047272786,0.6494648814322596,0.45970514110383753,0.13306753202785832,0.9122573895698877,0.9756008823493928,0.8206736441557888,0.408568543250152,0.18726955323905745,0.8144344032771494,1.0,1.0,0.9999031720717143,1.0,2.1612532523381358e-06
atpD,0.3695007649382027,0.8206733103579829,0.21040549049727855,0.003788225678287592,0.00041180944319269897,0.925480517613138,0.9989028070409643,0.7419007220124275,0.9998786770697525,0.9960651639483046,1.0,1.0,5.428217448192899e-05,1.0,2.1236568779789666e-18
atpE,0.9194269815203496,0.26992134823405506,0.02724930573537688,0.004433305035497504,0.03461106152164627,0.942920977087796,0.6691538898134911,0.0518357515722342,0.9750872190913363,0.9919465721484014,1.0,1.0,0.8393635528576497,1.0,0.4598472160246972
atpG,0.472981424527214,0.7356513722231928,0.030334280071059663,0.0006695444052973103,0.0023277615313302756,0.9216756387184903,0.9177582476002594,0.4077347999226495,0.9999999589183928,0.04356991377686058,1.0,1.0,0.02301104518672164,1.0,0.18158996331736804
atpI,0.018706309301982357,0.009440515129689346,0.03927678651386115,0.053131004836316595,0.4424918347718659,0.9997668831541814,0.9914167882702865,0.9244840697135214,0.9996958439496045,0.9999999991373512,1.0,1.0,0.7491110520597579,1.0,0.9999811293133264
aur_1~~~aur_2~~~aur,0.7789154282505926,0.0019745711877423786,2.7445096125428218e-06,1.880301974817624e-07,5.910752997069775e-07,0.2743944921508034,0.9927070029074493,6.765999911929784e-05,0.999997065313751,0.04294211373901454,1.0,1.0,0.9997091957786616,1.0,0.5183090601216835
ausA_2~~~ausA_1~~~ausA,0.9311564426415274,4.640817139165974e-16,0.8948237107585024,0.03383692927531803,0.011203894054068773,0.9871174039011316,0.9983620573882175,0.9892611260465388,0.9460338663824496,0.997107282112909,1.0,1.0,0.9999997167437155,1.0,0.00012209805881702125
azlD~~~azlC,0.005017418220934277,1.0866637723362503e-13,3.976097657187928e-09,5.540988070886384e-17,0.3371669903689801,0.012516360190473018,0.8860818216552969,0.1586613915895653,0.9536453369001565,0.16253712192154093,1.0,1.0,0.6378616996771663,1.0,0.33388242476647007
azo1~~~azo1_2~~~azo1_1,0.9977790821584906,0.5783330668192651,0.34048678168957325,0.1497726705475642,1.318418304926717e-43,1.0,0.5147903197447673,0.8811659192604206,0.9333527093827239,0.9864530275304332,1.0,1.0,0.9999999994279528,1.0,0.8769368657930223
bacA,0.06794636856652786,0.5284679706566975,0.04088497422853788,0.011416593053714083,0.205144483934397,0.5798734156188214,0.9545028510116212,0.25461656700905183,0.9732214886000741,0.738482998899249,1.0,1.0,0.5069085019730435,1.0,0.010573196415983822
bcp_1~~~bcp_2~~~bcp,0.9352036567811651,0.015555900829766302,6.312593446778462e-05,1.038139616569424e-06,0.34374154640320675,0.9328376148882622,0.8763480132632192,0.10544980457153513,0.2962499457846003,0.5644726448920097,1.0,1.0,0.0715589328695315,1.0,0.0020453137317291074
bcr,0.03845025830206162,0.7650286361374977,0.00010294088271862855,0.30367620202629875,0.9961220150706555,0.9999937341649456,0.499739412275113,0.13624973546242217,0.9881963926728283,0.8790656092363246,1.0,1.0,0.9722327261978057,1.0,1.0
bcr_1~~~tcaB_1~~~tcaB~~~tcaB_2~~~mdtL,0.8203672650191561,0.9528309206387406,0.09352332026268019,0.3800236753463106,0.9989110437594875,0.9999999869573395,0.9969848028982742,0.36531795002278644,0.9999999999999986,0.6927110097238657,1.0,1.0,0.9513294112917678,1.0,0.9999999999480171
bdbD,0.5587498554481457,0.5543803896896813,0.14422956667188647,0.03834314196967878,0.9990549545470454,0.9972056774945491,0.6712172878499058,0.0499577649372001,0.9999999635665991,0.24628040499677345,1.0,1.0,0.9258985085486744,1.0,4.671460822770031e-51
betA,0.07878783419764736,0.41859539794716316,0.09132239708755632,0.05373746314647881,7.883119148147343e-15,0.0001665859790729914,0.9999983584337396,0.2817193680081558,0.9998625865363041,0.9838635047034482,1.0,1.0,0.9788251717281462,1.0,0.008035851712327189
betI,0.10076310946814633,0.0016500325346874131,2.9340272718283374e-05,2.5327576255112268e-06,0.01888371093875554,0.9907321615314181,0.9272340180174412,0.002542499328490517,0.940290529829936,0.0036142617891832905,1.0,1.0,0.37672552177640367,1.0,0.9339078192320789
bfmB,0.005891176421239058,0.11221729097395552,0.0012635740119542025,0.0008122061567277992,0.18714246574083984,0.9931031816212994,0.3066470910309388,3.172710267561579e-07,0.9420079743893633,0.9999985894335688,1.0,1.0,0.9999810566319397,1.0,0.0008732137608755033
