,OXA-RS,CIP-RS,LEV-RS,MXF-RS,GEN-RS,TET-RS,ERY-RS,SMZ-RS,CLI-RS,FOS-RS,VAN-RS,LNZ-RS,TEC-RS,DAP-RS,RIF-RS
cntI,0.207578486,0.978407285,0.197982739,0.699939715,4.55E-08,3.76E-06,0.999996236,0.729956186,0.993210972,0.54231297,1,1,0.991871441,1,1.21E-11
cntM_2~~~cntM_1~~~cntM,0.985554446,0.997417324,0.186047813,0.16294053,2.12E-11,3.81E-28,0.995966754,0.557838645,0.994433729,0.991958955,1,1,0.902884621,1,3.56E-07
coaBC,0.995865939,0.603521452,6.04E-05,1.06E-06,0.382727621,0.999912462,0.615661383,0.379980226,0.99999708,0.079717969,1,1,0.01247532,1,1.43E-09
coaE,0.605733987,0.099812269,3.59E-06,5.97E-06,5.63E-65,0.996562092,0.991979851,5.55E-10,0.999985438,0.997300853,1,1,0.998106647,1,0.999999846
cobI_2~~~cobI_1~~~cobI,0.620641138,0.008269359,1.68E-06,0.000318392,0.988930197,0.99998557,0.546299742,0.446243846,0.999997531,0.346604124,1,1,0.023577393,1,4.31E-05
cobW,0.551344757,0.657531514,0.013072458,5.87E-05,3.49E-17,0.044213757,0.999929118,0.694466945,0.988721052,0.999997004,1,1,0.989941767,1,0.899424415
codY,0.054896987,2.74E-54,0.306023132,0.479650153,0.347200589,0.998850676,0.95694687,0.071297564,0.999977054,0.991795235,1,1,0.301291282,1,0.274971021
coiA_2~~~coiA_1~~~coiA,0.583357425,0.643347847,0.00729251,3.79E-08,0.18603384,0.860951137,0.733697786,0.819902678,0.999762429,0.198590441,1,1,0.713003817,1,4.81E-63
comEA,0.980408189,0.996993001,0.00370978,0.198261613,0.458978398,0.014482223,0.919143387,0.988059674,0.465892761,0.683181958,1,1,0.623623056,1,4.84E-11
comEB,0.870631904,0.149797034,0.007500782,6.05E-05,0.320158858,0.596378888,0.430857123,0.102954488,0.642317176,0.042218927,1,1,0.031288406,1,1.51E-08
comEC~~~comEC_2~~~comEC_1,0.978210013,0.411097282,0.002575517,0.004256318,7.38E-32,0.999999975,0.967600411,0.282985603,0.98353258,0.995965544,1,1,0.987811119,1,1.92E-33
comFC,0.607002107,0.987176482,0.129192155,0.59422817,0.996154702,7.89E-06,0.573877231,0.573525373,0.896418904,0.0029232,1,1,0.989446787,1,1.43E-06
comGC,0.057779614,0.291362764,5.11E-08,0.015988116,0.997579784,0.99854182,0.269563965,0.774120294,0.999999986,0.999999997,1,1,0.468509864,1,0.929882641
comGF,0.712360005,0.208488936,0.019251323,0.39265487,0.328757655,0.840342706,0.997762107,0.711489797,0.999999714,0.902913365,1,1,0.38310438,1,0.999996236
